"Form Number","Numero de formulario","Nome do entrevistador","Periodo da Pesquisa","Sexo","Copy of Quantos anos tem","Estado Civil","Numero de A. Familiar","Quantas de sexo feminino","Quantas pessoas menor de 18 anos","Quantas criancas estudam","Nasceu neste povoado","Se nao, ha quantos anos vive neste povoado","Situacao escolar","Situacao Religiosa","OBC que faz parte","Ocupacao Principal","Se realiza actividade de Pesca A quantos anos","Quem ensiou a pescar","Tem embarcacao de pesca","Que tipo de arte utiliza","Quantas artes de linha de mao tem","Quantos Arpao tem","Quantas artes de emalhar tem","Quantos marinheiros tem na embarcacao que pesca","Quantas vezes vai pesca por dia","Quantas horas fica na faina","Em que local pesca","Tem mudado a zona de pesca","Que tipo de embarcacao utiliza","Quantas embarcacoes de fibra tem","Quantas embarcacoes de Madeira/contraplacado tem","Onde adquiriu a embarcacao","Qual a especie mais capturada","Mes de maior rendimento","Mes de rendimento medio","Mes de rendimento baixo","Quais sao as capturas Maxima e Minima por faina Maxima","Minima","Qual é o mercado","Qual é o preco local por especie Garoupa","Vermalhao","Atum","Serra","Lagostas","Quem sao compradores de pescado","voce ja se benificou-se de algum credito","Se sim, de que Instituicao","Sempre pescou da mesmo maneira","Qual é o nível de captura a 5 anos comparando com hoje","Se estiver a diminuir, quais sao as causas","Se as capturas estiver a diminuir, qual é o impacto na familia","No passado qual era a arte mais utilizada","Quel era a captura por faina","Como era a forma que pescava no passado comparando com hoje","Tem conhecimento de algum problemas relacionados com a pesca de arpao","Ja pensou em mudar de pescar com arte de Arpao","Se sim, para que arte pensa em mudar","Existe alguma dificuldade em mudar de arte","Copy of Se existir as dificuldades Quias sao","Qual a especie pretende capturar com a nova arte","Quais sao as especies mais capturada","Quais sao os influenciadores sobre o publico-alvo","Qual é OBC que tem maior influencia sobre o publico alvo","Em que incide a influencia","Voce aceitaria de deixar de pescar com arpao?","Se existir, quais sao as causas da resistencia","Acha que seria facil ou dificil em convece-lo para novo comportamento da pesca de garoupa de Mancha castanha","Copy of Se for facil Porque","Se for deficil Porque","Voce aceitaria a mudar de comportamento para adptar nova regra de pesca","Aceitaria porque","Copy of Nao aceitaria porque","Acha que teria alguma resistência em abandonar a pesca com Arpao","Se for sim","Se for nao","A comunidade tem enfrentado alguma dificuldade","Falta de agua","Energia RN","Insumo de pesca","Bomba de combustivel","Sistema de congelamento","Vias de acesso","Tem informação ou conhecimento sobre a conservacao da garoupa de mancha castanha","Ha captura das espécies em conservacao ou protegidas","Qual das especies é a mais capturada","Quais sao os problemas da zona costeira","A forma que voce pesca hoje acha que é melhor que antes","Se nao, porque","Voce acha que a quantidade da garoupa de mancha castanha esta a dimunuir com o passar do tempo","Copy of Se for sim,","voce ja falou com outros pescadores sobre a pesca com Arpao","Se sim. porque","Copy of Se for nao, porque","A mudança proposta pelo projecto pode trazer benefícios aos pescadores e à comunidade","Copy of Copy of Se for sim Porque","Copy of Se for nao Porque","Qual é a fonte de informacao na comunidade","Qual é ONG com maior ligacao com a comunidade","Qual a instituicao que tem maior ligacao com pescadores e a comunidade","Qual é a OBC com maior ligacao com a pesca","Quas sao os aspectos culturais ligado a pesca","Form's Doc","Form Source","Form Created","Form's ID", 
47,47,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Casado","+ 8 Pessoas","6 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Zione","Grupo de Trabalho AGC+ARR","Pesca","Mais de 10 anos","Pai"," ","Linha","7 Artes","Nenhum","Nenhum","7 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Madeira ou contraplacado","1 Embarcacao","Nenhum","Maxixe","Vermelhao","N","O","D","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Nenhum","Dificil","Nenhum","Nao tem comentario","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","erosoa costeira","Nao","Pesca sem material em condicoes","Sim","Nao sabe","Nao","Maior Rendimento"," ","Nao"," ","Nao tem comentario","Governo"," ","SDAE"," ","Nao sabe","1","e","Feb 25, 18 13:38","wc7t-46c8-6mv", 
48,49,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Solteiro","4 Pessoas","1 Pessoa","2 Pessoas","2 Criancas","Sim"," ","Nivel Secundario","Assembleia de Deus","Poupanca Credito Rotativo - PCR","Pesca","entre 5 a 10 anos","Tio","Sim","Linha","4 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","4 a 6horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","S","O","N","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Regulo","CCP","Especie a ser capturadas","Nao","Nenhum","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Vive da pesca de arpao","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Nao sebe","Nao","Pesca sem material em condicoes","Sim","Nao sabe"," ","Maior Rendimento"," ","Nao sabe"," "," ","Governo","FDM","DPMAIP","Nao sabe"," ","1","","Feb 25, 18 14:16","mc99-f6ch-6wj", 
49,49,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","7 Pessoas","5 Pessoas","4 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Zione","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Amigo","Sim","Linha","6 Artes","Nenhum","Nenhum","6 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","J","S","O","40 a 60 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nenhum","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Nao","Esta habituado pescar com arpao","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Pesca sem material em condicoes","Sim","Nao sabe","Nao","Muita Procura"," ","Sim","Nenhum"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 14:33","ccwj-j6ch-6w2", 
50,50,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Casado","+ 8 Pessoas","4 Pessoas","3 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Catolica","Grupo de Trabalho AGC+ARR","Pesca","Mais de 10 anos","Irmao","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","2 vezes","4 a 6horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Lagosta","O","N","D","10 a 30Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Nao","Dimunuiram","Sobrepesca","Negativo","linha de mao","20 a 40Kg","Positivo","Imigracao","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Muita procura","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Nenhum","Nenhum","Nao","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Sim","Tartaruga","Nao sebe","Nao","Pesca no coral","Sim","Nao sabe","Sim"," "," ","Nao sabe"," "," ","Governo","FDM","DPMAIP","CCP","Apanha de mexilhao","1","","Feb 25, 18 14:45","4c57-76ch-6c7", 
51,51,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","5 Pessoas","2 Pessoas","3 Pessoas","3 Criancas","Nao","Mais de 1 ano","Nivel Primario","Catolica","Poupanca Credito Rotativo - PCR","Processador de pescado","entre 5 a 10 anos","Amigo","Sim","Linha","5 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","Nenhum","Nenhum","Local","Vermelhao","O","N","D"," "," ","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Sim","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","50 a 70Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nao sabe","Nao sei","Nenhum","Nao tem comentario","Nao sabe","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao sabe","Nao sabe","Lixo na praia","Nao sabe"," ","Sim","Nao sabe","Sim"," "," ","Nao","Aumento da producao"," ","Governo","FDM","SDAE"," ","Nao sabe","1","","Feb 25, 18 15:01","kc9p-k6ch-6f1", 
52,52,"Edmundo Anibal","Linha de base antes da campanha","M","36 a 40 anos","Un. Marital","4 Pessoas","2 Pessoas","2 Pessoas","3 Criancas","Nao","Entre 3 a 4 anos","Nivel Secundario","Zione","Nenhum","Comercio de Pescado","entre 5 a 10 anos","Tio","Sim","Linha","3 Artes","Nenhum","Nenhum","3 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local"," ","A","M","J","40 a 60 Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nao sabe","Nao sei","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Nao sabe","Nao sabe pescar comoutra arte","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Nao sebe","Nao sabe"," ","Nao sabe"," ","Sim"," "," ","Nao sabe"," "," ","Op. Turisticos","Nao sabe","DPMAIP","CCP","Nao sabe","1","","Feb 25, 18 15:22","kcnk-r6cv-6pd", 
53,53,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Casado","+ 8 Pessoas","3 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Catolica","Nenhum","Pesca","Mais de 10 anos","Amigo","Sim","Linha","6 Artes","Nenhum","Nenhum","6 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","N","D","J","70 a 100 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","80 a 100Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nenhum","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai melhorar ecossistema","Nenhum","Sim","Esta habituado pescar com arpao","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tartaruga","Lixo na praia","Sim","Nenhum","Sim","Maior rendimento","Nao","Muita Procura"," ","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 15:33","jct9-p6cv-63p", 
54,54,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","6 Pessoas","2 Pessoas","3 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Zione","Nenhum","Pesca","entre 5 a 10 anos","Pai","Sim","Linha","5 Artes","Nenhum","Nenhum","5 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Madeira ou contraplacado","Nenhum","I Embarcacao","Local"," ","J","J","S","40 a 60 Kg","5 a 10Kg"," ","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Negativo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nao sabe","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Sabe que vai aumentar as especies","Nenhum","Nao","Nenhum","Sabe que pescado do Arpao pode perigar a saude","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca","Sim","Nao sabe","Nao","Muita Procura"," ","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 15:46","xxx5-y6cv-64x", 
55,55,"Edmundo Anibal","Linha de base antes da campanha","F","40 a 45 anos","Solteiro","6 Pessoas","3 Pessoas","3 Pessoas","3 Criancas","Nao","Entre 3 a 4 anos","Nivel Primario","Catolica","Poupanca Credito Rotativo - PCR","Comercio de Pescado","entre 5 a 10 anos","Amigo","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","4 a 6horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Vermelhao","J","S","O"," "," ","Local","200 Mt/Kg","200Mt/kg","180Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","50 a 70Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nao sabe","Nao sei","Nenhum","Nenhum","Nao","Nenhum","Nao tem outra altenativas","Nao sabe","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao","Tubarao Martelo","Nao sebe","Nao sabe"," ","Nao sabe"," ","Sim"," "," ","Nao sabe"," "," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 25, 18 15:59","hx7f-46cv-65n", 
56,56,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","+ 8 Pessoas","3 Pessoas","2 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Zione","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Irmao","Nao","Emalhe"," ","Nenhum","2 Artes de emalhar","2 marinheiros","1 vez","4 a 6horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Serra","M","A","J","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","20 a 40Kg","Positivo","Insumo de pesca","Sim","Para Linha","Sim","Falta de fundo","Garoupa","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Tem alto valor nutritivo","Nao","Vai aumentar a producao","Nao tem outra altenativas","Sim","Nenhum","Nenhum","Sim","Nao","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca","Sim","Muita procura","Nao","Maior Rendimento"," ","Nao sabe"," "," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 25, 18 16:10","txjt-j6cv-63k", 
57,57,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Casado","6 Pessoas","3 Pessoas","2 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Catolica","Poupanca Credito Rotativo - PCR","Pesca","Mais de 10 anos","Amigo","Nao","Linha","6 Artes","Nenhum","Nenhum","6 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","J","O","N","70 a 100 Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","230Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","50 a 70Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Muita procura","Nao sei","Nenhum","Nenhum","Sim","Vai aumentar a producao","Nao tem outra altenativas","Nao","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Nao ha veda","Sim","Muita procura","Nao","Maior Rendimento"," ","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 16:22","8xw4-f6cv-6rr", 
58,58,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Viuvo","5 Pessoas","2 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Assembleia de Deus","Conselho Comunitario de Pesca-CCP","Pesca","entre 5 a 10 anos","Tio","Sim","Linha","7 Artes","Nenhum","Nenhum","6 Marinheiros","2 vezes","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Inhambane","Vermelhao","J","N","D","70 a 100 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Nao sabe","Dificil","Nenhum","Nao tem comentario","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Tubarao Martelo","Lixo na praia","Nao","Esforco de pesca","Sim","Nao sabe","Nao","Maior Rendimento"," ","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 16:35","gx63-86c5-6wg", 
59,59,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Casado","5 Pessoas","2 Pessoas","2 Pessoas","3 Criancas","Nao","Mais de 5 anos","Nivel Primario","Metodista","Nenhum","Pesca","Mais de 10 anos","Irmao","Sim","Linha","5 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Madeira ou contraplacado","Nenhum","I Embarcacao","Local","Vermelhao","O","N","D","70 a 100 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Nao","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Positivo","Pesca com arpao nas rochas","Nao","Para Linha","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Falta de alternativa para mudanca","Nao sei","Nenhum","Sabe que tem bom rendimento","Sim","Vai aumentar a producao","Sempre pescou da mesma maneira","Sim","Esta habituado pescar com arpao","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Nao ha veda","Nao sabe"," ","Nao","Maior Rendimento"," ","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 16:44","xx7r-36c5-63h", 
60,60,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","4 Pessoas","2 Pessoas","2 Pessoas","1 crianca","Nao","Entre 3 a 4 anos","Nivel Primario","Catolica","Poupanca Credito Rotativo - PCR","Comercio de Pescado","entre 5 a 10 anos","Avo","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","4 a 6horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Vermelhao","S","O","N"," "," ","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Sim","PCR","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","50 a 70Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nao sabe","Nao sei","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Nao sebe","Nao sabe"," ","Nao sabe"," ","Sim"," "," ","Sim","Aumento da producao"," ","Op. Turisticos","FDM","SDAE","CCP","Nao sabe","1","","Feb 25, 18 17:06","jxjj-16c5-605", 
61,61,"Edmundo Anibal","Linha de base antes da campanha","M","36 a 40 anos","Un. Marital","5 Pessoas","2 Pessoas","3 Pessoas","3 Criancas","Nao","Mais de 5 anos","Nivel Primario","Zione","Poupanca Credito Rotativo - PCR","Pesca","entre 5 a 10 anos","Tio","Sim","Linha","2 Artes","Nenhum","Nenhum","2 marinheiros","1 vez","4 a 6horas","Nos corais","Sim","Madeira ou contraplacado","Nenhum","I Embarcacao","Local","Vermelhao","J","S","O","40 a 60 Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Regulo","CCP","Modo de pesca","Nao","Nenhum","Dificil","Nenhum","Nao tem comentario","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao","Nao sabe","Nao sebe","Nao","Pesca sem material em condicoes","Sim","Nao sabe","Nao","Fraca producao agricola"," ","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 17:17","9xt7-v6c5-6fy", 
62,62,"Edmundo Anibal","Linha de base antes da campanha","F","31 a 35 anos","Casado","6 Pessoas","3 Pessoas","3 Pessoas","3 Criancas","Nao","Mais de 1 ano","Nivel Secundario","Catolica","Poupanca Credito Rotativo - PCR","Comercio de Pescado","entre 5 a 10 anos","Sozinho","Sim","Linha","3 Artes","Nenhum","Nenhum","3 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","J","J","O","40 a 60 Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","80 a 100Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nao sabe","Nao sei","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Nenhum","Sim","Nao sabe","Sim"," "," ","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 25, 18 17:32","rx26-j6c5-6yf", 
63,63,"Edmundo Anibal","Linha de base antes da campanha","F","46 a 50 anos","Un. Marital","4 Pessoas","2 Pessoas","2 Pessoas","2 Criancas","Sim"," ","Nivel Primario","Assembleia de Deus","Poupanca Credito Rotativo - PCR","Comercio de Pescado","Mais de 10 anos","Tio","Sim","Linha","5 Artes","Nenhum","Nenhum","5 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Maxixe","Vermelhao","J","O","N","70 a 100 Kg","16 a 20Kg","Local","200 Mt/Kg","180 Mt/Kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","50 a 70Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nao sabe","Nao sei","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Sim","Tartaruga","Lixo na praia","Nao sabe"," ","Nao sabe"," ","Nao","Maior Rendimento"," ","Nao sabe"," "," ","Governo","FDM","SDAE","CCP"," ","1","","Feb 25, 18 17:39","4x3c-n6cj-67m", 
64,64,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","5 Pessoas","2 Pessoas","3 Pessoas","2 Criancas","Sim"," ","Nivel Primario","Zione","Nenhum","Pesca","Mais de 10 anos","Irmao","Sim","Linha","4 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","Dentro das 3 milhas","Nao","Madeira ou contraplacado","Nenhum","I Embarcacao","Local","Vermelhao","J","N","D","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Negativo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Nao sabe","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai melhorar ecossistema","Nenhum","Sim","Esta habituado pescar com arpao","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca","Sim","Nao sabe","Nao","Maior Rendimento"," ","Sim","Vai aumentar a renda"," ","Governo","Nao sabe","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 17:49","pxcn-v6cj-6nt", 
